class,confidence_prediction,confidence_threshold,true_label,correct
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.53,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.32,0.7354424401961304,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.65,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.57,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.49,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.68,0.7354424401961304,irobot_roomba,False
qrio_hub,0.81,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.53,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.61,0.7354424401961304,irobot_roomba,False
nature_remo,0.37,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.45,0.7354424401961304,irobot_roomba,False
qrio_hub,0.54,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.66,0.7354424401961304,irobot_roomba,False
nature_remo,0.46,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.46,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.5,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.38,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.48,0.7354424401961304,irobot_roomba,False
qrio_hub,0.27,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.72,0.7354424401961304,irobot_roomba,False
nature_remo,0.28,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.68,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.67,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.56,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.5,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.17,0.7354424401961304,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.53,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.23,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.22,0.7089134225457209,irobot_roomba,False
nature_remo,0.45,0.6484045534354725,irobot_roomba,False
nature_remo,0.42,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.61,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.28,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.3,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.51,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.27,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.34,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.51,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.48,0.7354424401961304,irobot_roomba,False
sony_bravia,0.54,0.9563090531980772,irobot_roomba,False
xiaomi_mijia_led,0.29,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.37,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.63,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.44,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.44,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.52,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.49,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.41,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.39,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.69,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.49,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.45,0.7354424401961304,irobot_roomba,False
nature_remo,0.32,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.69,0.7354424401961304,irobot_roomba,False
nature_remo,0.61,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.49,0.7039889751178636,irobot_roomba,True
qrio_hub,0.74,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.36,0.7354424401961304,irobot_roomba,False
qrio_hub,0.53,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.51,0.7089134225457209,irobot_roomba,False
qrio_hub,0.39,0.9070117025885958,irobot_roomba,False
qrio_hub,0.46,0.9070117025885958,irobot_roomba,False
sony_bravia,0.33,0.9563090531980772,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.46,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.61,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.56,0.7354424401961304,irobot_roomba,False
qrio_hub,0.52,0.9070117025885958,irobot_roomba,False
qrio_hub,0.51,0.9070117025885958,irobot_roomba,False
nature_remo,0.3,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.38,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.51,0.7354424401961304,irobot_roomba,False
nature_remo,0.45,0.6484045534354725,irobot_roomba,False
nature_remo,0.53,0.6484045534354725,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.53,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.46,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.4,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.31,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.54,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.27,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.58,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.52,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.6,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.34,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.36,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.39,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.29,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.34,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.36,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.29,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.29,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.36,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.58,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.38,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.59,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.33,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.58,0.7089134225457209,irobot_roomba,False
qrio_hub,0.73,0.9070117025885958,irobot_roomba,False
nature_remo,0.44,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.51,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.36,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.57,0.7354424401961304,irobot_roomba,False
qrio_hub,0.37,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.35,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.44,0.7354424401961304,irobot_roomba,False
nature_remo,0.5,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.43,0.7354424401961304,irobot_roomba,False
nature_remo,0.5,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.57,0.7354424401961304,irobot_roomba,False
qrio_hub,0.43,0.9070117025885958,irobot_roomba,False
nature_remo,0.4,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.42,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.63,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.46,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.63,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.51,0.7354424401961304,irobot_roomba,False
nature_remo,0.32,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.41,0.7354424401961304,irobot_roomba,False
qrio_hub,0.55,0.9070117025885958,irobot_roomba,False
qrio_hub,0.77,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.51,0.7354424401961304,irobot_roomba,False
qrio_hub,0.53,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.46,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.62,0.7354424401961304,irobot_roomba,False
qrio_hub,0.37,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.3,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.54,0.7039889751178636,irobot_roomba,True
qrio_hub,0.53,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.54,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.43,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.39,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.55,0.7354424401961304,irobot_roomba,False
nature_remo,0.45,0.6484045534354725,irobot_roomba,False
qrio_hub,0.46,0.9070117025885958,irobot_roomba,False
qrio_hub,0.42,0.9070117025885958,irobot_roomba,False
qrio_hub,0.26,0.9070117025885958,irobot_roomba,False
qrio_hub,0.24,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.57,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.39,0.7354424401961304,irobot_roomba,False
qrio_hub,0.52,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.37,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.56,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.27,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.5,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.25,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.43,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.29,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.43,0.7354424401961304,irobot_roomba,False
